name,space,neighbourhood_cleansed,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,minimum_nights,maximum_nights,reviews_per_month,host_acceptance_rate
Sunnyside NYC/ AC room/ city views/ near Midtown,"(Unlike hotels, home renting requires you to have a picture and a  profile to introduce yourself.  And so, to put me at ease as apartment cohabitants. Thanks for your understanding.) Located in Sunnyside-Queens, very safe neighborhood, close to Manhattan (on #7 train, 3 stops to Bloomingdale's shopping area and 4 stops to Central Park- 5th Avenue, Apple Store), 20' from the Grand Central Station and also direct line to Times Square (30') and The High Line, Megabus, Jacob-Javits Conventions Center at the stop Hudson Yards. Also airports or port, by metro, train and buses. If driving, scarce but safe street parking. Elevator, 4th floor, sunsets and city skyline. Downstairs is a 30 years old bakery where you can find coffee, danish or strudel starting with 6 am or a pizzeria until 1 am in the night, while in the vicinity, lots of ethnic restaurants/take-outs, all fresh and affordable, including food markets and CVS pharmacy open 24/7. Public transp. is max. two and a half blocks away (#7 ",Sunnyside,40.73826,-73.92458,Apartment,Private room,1,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Host greets you""}",750,$50.00,$10.00,2,365,2.87,97%
Greenpoint Waterfront Loft,"*NOTE RE: PASSAGE OF NY RESTRICTIONS -- THIS IS A FULLY LEGAL LISTING IN AN OWNER-OCCUPIED ROWHOUSE.  Please note, I don't accept reservations more than 3 months in advance... The Loft is a lovely & light-filled apartment in a waterfront rowhouse in Brooklyn's booming Greenpoint Historic District, on the riverfront just north of bustling Williamsburg. Walk to the Bedford ""L"" subway stop, or just a few blocks to the Greenpoint ""G"" stop. East River Ferry service (with multiple stops in Brooklyn, Manhattan, and Queens) is 2 blocks from the house, on the India Street waterfront. Plenty of restaurants, bars, boutiques, cafes, galleries, banks, gyms, etc all within blocks. 800 completely open interior square feet; kitchen, dining area, living room, bedroom nook and private on-floor bathroom. The apartment is located on the 2nd floor of a building which houses an antiques store on the first floor (which has a lovely garden, of which you have a view down below while gazing out at the stellar M",Greenpoint,40.73049,-73.96115,Apartment,Entire home/apt,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$185.00,$100.00,3,90,2.2,85%
Sunny Central Williamsburg Apt,"Spacious 4 Room Apartment in the heart of Williamsburg Perfect for a couple. 4 room sunny railroad.  The apartment is very cozy and zen.  Clean with plants, hardwood floors and very centrally located.  The apartment comes furnished with a  queen bed in the first bedroom and an office in the other room   Sheets and towels are provided along with coffee and tea! - Flat screen TV with netflix, ect… - Full eat in kitchen with all appliances! Toaster, food processor, coffee makers, berkey water filtration system, vitamix My apt:  -1 bedroom railroad style apartment on the 2nd floor -Small simple bathroom, and big eat in kitchen, large living room with photo studio -2 Blocks from the subway (L train at Lorimer) and 5 minutes from 14th st and 1st ave.  -Nice walk to Bedford Ave, and McCarren Park..  -Really cool neighborhood, filled with tons of shops and boutiques, art galleries, parks, restaurants and bars, etc! I am:  A bar owner (around the corner), DJ, photographer, yogi.  I'm super easy",Williamsburg,40.71113,-73.9504,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$150.00,$75.00,3,5,0.16,96%
East Village House -- Unique!,"NOTE:  Memorial weekend is special pricing for nurse (male or female) or nurse types who can administer insulin to Mugsy, one of the kitty boys who now has diabetes!  Thanks! One of the coolest spots in Manhattan, this is a bizarrely quiet and serene little cottage in the middle of the East Village of NYC.  It's 2 blocks from Tompkins square, but this house is for cat lovers only!  That's because 4 cute cats live here that you need to feed twice daily (these are otherwise independent cats that spend most of their time outdoors!).  Other than this requirement, this is one unique place that is close to everything cool that is New York.  It's funky, so if you're used to 5 star hotels, beware.  But if you'd rather be in a quiet and charming 2 story cottage with a toasty fireplace and a large front yard to enjoy your morning coffee, then you've come to the right spot.  There's 1 full sized bed upstairs and 1 daybed (slightly wider couch) downstairs.  There's no tv, but you're not coming for",East Village,40.72956,-73.97903,Tiny house,Entire home/apt,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",,$250.00,$100.00,1,7,0.7,82%
2-bedroom share in heart of Greenwich Village!,"This apartment is a well-appointed and warm home, located in one of the most desirable streets in the popular West Village.  1,100 square feet / 336 square meters, PLUS 200 square feet / 60 square meter private terrace with BBQ and roof deck with views of the Empire State Building.  2 bedrooms, laundry (in the apartment!) well-stocked kitchen with brand new appliances, large bathroom, large dining/living area, elevator, doorman.  Ideally seeking a longterm share. I am a well-traveled professional with 2  friendly cats. The apartment is truly a wonderful home and would suit a female non-smoker. Rent includes everything. No hidden charges and yes, is below market!",West Village,40.73854,-74.00821,Apartment,Private room,1,2,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,""Pets live on this property"",Cat(s),Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you""}",,$80.00,,30,90,0.19,46%
1 Bedroom Pre War apt,It is a Decorated very clean one bedroom apartment located in the heart of New York City's Time Square ( Hells Kitchen) area!,Theater District,40.75877,-73.98863,Apartment,Entire home/apt,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,""Dishes and silverware"",Oven,Stove}",,$230.00,$45.00,2,6,1.94,78%
Quiet One Bedroom in Park Slope,"Quiet One bedroom in Park Slope / Carrol Gardens. Large bedroom and living room.  Two bathrooms.  Family friendly building. Perfect for a couple or friends. Train Access on the corner.  Bagels, Pizza, Laundry Supermarket all one block away as well as easy walking to two of the nicest neighborhoods in brooklyn - Park Slope and Carrol Gardens.  These neighborhoods are full of great restaurants, cafes, and bars. Very close to the beautiful Prospect Park, Brooklyn Bridge Park, Brooklyn Museum of Art and the Botanical Gardens.  There is some greta BBQ right on the block and a Whole Foods just opened a few blocks away. The apartment has easy access to Manhattan. There are several Subway options all in walking distance:  R,F,N,Q,D,B are all nearby. [The R train is right on the corner.]  The D and N trains are only 1 stop from downtown Manhattan. There is a Holiday inn that is directly across the street from the apartment that goes for upwards of $200 a night.  I think this apartment is a way ",Gowanus,40.67688,-73.9859,Apartment,Entire home/apt,1.5,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace""}",,$100.00,$50.00,7,60,0.09,N/A
New Clean Spacious Bed & Breakfast,"1 bedroom apt with a separate entrance in a 2 family private house in a beautiful residential area in Staten Island.  Fully furnished apt with a kitchen and bath. Walking distance to a Manhattan express bus that runs 24 hours or the local bus to the FREE Staten Island Ferry that goes to Manhattan. Walking distance to the College of Staten Island. Includes continental Breakfast daily, house cleaning and laundry once a week.  Kitchen includes: - Full fridge - Toaster oven - Microwave - Electric kettle - Various dishes and cups - Coffee, tea and sugar The kitchen/living space is separate from the bedroom.  The apartment is in a safe quiet neighborhood. ***We have wi-fi**",Emerson Hill,40.60742,-74.14388,Guest suite,Entire home/apt,1,1,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Lock on bedroom door"",""24-hour check-in"",Hangers,""Laptop friendly workspace""}",,$80.00,$15.00,2,365,0.04,N/A
"Sunny, calm room in Victorian home","The  House & Its Location: Our house is located at the intersection of the Historic Districts of Bedford-Stuyvesant and Clinton Hill, in vibrant, artistic, and diverse Brooklyn, famous for its history and architecture.  Our charming rooms are located on the fourth floor of our 19th century Victorian home with all its original detail.  A lovely accommodation, it features two comfortable, spacious, furnished private rooms -- one of which is listed here. (If you wish to book the two rooms at once, please find ""Charming Rooms in Victorian Home"" on Airbnb.) The Room: Each room has a full-sized bed, dresser, bedside tables, large closet, original detail, and abundant light.  Fresh towels and bed linens will welcome you. The bath and kitchenette (microwave oven, refrigerator, coffeemaker, and dishware), located on the same floor, are shared with guests from the other room.  Transportation: A quick subway ride will put you in downtown or midtown Manhattan in fifteen-to-thirty minutes.  We are ",Bedford-Stuyvesant,40.68741,-73.95741,House,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Garden or backyard"",""Host greets you""}",,$79.00,,3,365,1.67,92%
Modern Unique Studio in NYC,"Welcome to this modern, high-design, studio apartment in Astoria, New York City. It is conveniently located just a short 3 minute walk to the train station. From there, it takes only 10 minutes to reach Manhattan. This beautiful studio has high ceilings, hard wood floors, exposed brick wall, and three very large windows in the living room and kitchen. The space receives plenty of sunlight. The studio is designed with high quality, ultra modern, and mid-century modern furniture and fixtures. There is a large tweed sofa that flattens into a long twin bed (80'' x 40''). The sofa sits on a custom built platform, which houses the therapeutic queen size Tempur-Pedic mattress. The door to the platform opens and closes easily and the bed rolls smoothly in and out of the platform. There is a large flat-screen television with cable tv, which sits on a Mid-Century Modern Danish walnut dresser. The dining area has a walnut table with modern dining chairs. The modern and bright kitchen is fully equ",Long Island City,40.75627,-73.9211,Apartment,Entire home/apt,1,0,2,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",Bathtub,""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",350,$200.00,$200.00,30,1125,0.27,69%
"2 Bed, 2 Bath Apartment on Central Park West","One bedroom with queen bed and en suite bathroom, the other bedroom has two twin beds, and an attached ""play room"" full of books and toys.  Second bathroom is located in the hallway.  Big living room with two couches, open dining area (two booster seats available), and kitchen with everything you need, including dishwasher.   We also have a pull-out couch in the living room, along with a regular couch, and a twin air mattress and a cot, so please contact us about sleeping configurations if you need any of those things.  *This is our home, so our things are here- not an empty vacation rental* We hope you will make yourselves at home in our home!",Upper West Side,40.79816,-73.9619,Apartment,Entire home/apt,2,2,4,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Heating,""Smoke detector"",Essentials,""Children’s books and toys"",""Window guards"",""Babysitter recommendations"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",Other}",,$300.00,$100.00,2,14,0.44,100%
"Luxury Furnished 1 bedro, Bay Ridge","One bed room apartment with renovated bathroom and new wood floor, King Size bed with Tempur-pedic Mattress, Laundry facility inside the apartment, full-size Murphy bed, Leather livingroom set as well as redesigned closets. The apartment is on the first floor.  Beautiful bathroom floor and frameless  sliding shower door.   Cozy dining set with two comfortable stools.  It is very quiet, comfortable and clean apartment located near shopping centers, restaurants, car/Taxi services, 24 hours Gym, Starbucks and about half an hour drive to JFK.  It is a perfect place for professionals.  No pets and  ABSOLUTELY no smoking in the apartment.   $3,000.00 per month including electricity, heating, internet and cable TV.  Located near the beautiful Varrazano Bridge, Parks, tennis courts and about 35-40 minutes  away from Midtown Manhattan by subway. Two blocks from the R train subway station.  The Apartment is located in a residential and quiet area.   Enjoy your stay in Bay Ridge and NYC.",Fort Hamilton,40.61927,-74.0307,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens""}",,$100.00,$150.00,30,365,0.07,0%
Your Haven in the Upper West Side,"Near Columbia University, Morningside Heights and in the heart of the 'new' Harlem, you will have a chance to live in a neighborhood that is experiencing a renaissance.  The cozy bed room has two north-facing, large windows and includes your own closet and air conditioner.  Shared free WiFi, comfy kitchen and clean bathroom, the apartment is great to base yourself as you explore Central Park, Harlem, nearby Museum Mile or to the West Side. It is just 10 minutes to 59th Street Columbus Circle.",Harlem,40.8078,-73.95208,Apartment,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,Iron,""Private entrance"",""Hot water"",Other}",,$80.00,$25.00,90,365,0.35,88%
"Wonderful Studio In Brooklyn, NY!!!","This is a great walk-in studio apartment in the hear of Boro Park, Brooklyn, only 20 minutes from Canal Street, in Manhattan, by train. The N train is across the street and the D train is 3 blocks away. Perfect location for a visiting guest on a budget!  There are two large closets, a kitchen with a full size fridge, stove and sink. The bathroom is very nice and spacious with a standing shower. This is a pristinely clean and well maintained apartment! Please let me know if you have any questions. THIS IS A STRICTLY NON SMOKING APT!",Bensonhurst,40.61922,-73.99399,Apartment,Entire home/apt,1,1,1,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,Heating,""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$110.00,$60.00,1,365,0.27,100%
"Lovely Bdr in Harlem, Manhattan","Lovely 1 room (furnished) rental in a fabulous brownstone apt located in trendy Harlem! The apt is 5 blocks from Columbia University and City College! The overall space is huge, 2 floor, townhouse style, harwood floors with lots of light. It's very refreshing and a change from the usual cramped quarters of most New York City apartments. The apt is right around the corner from the world famous 125th street and the A,B,C,D,1, and 2 trains are all 5-7 minute walk. Including the express trains that will get you to Time Square in 15-20 min! Make sure you checkout TKTS to get all the great discount theatre tickets for the hottest shows! The world famous Sylvia's and Amy Ruth's Restaurant are both within 1 mile on Lennox Ave, as well as all the cool new hot spots in Harlem! Great to go exploring down Frederick Douglas Blvd and stop at the Bier Garden, Harlem Tavern, Lito or even 67 Orange. Lots of out door seating, good for people watching! The Harlem waterfront is 5 blocks away and boasts of",Harlem,40.81553,-73.95438,Townhouse,Private room,1,1,2,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Gym,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""Shower gel"",""Baking sheet"",""Trash can""}",,$100.00,$30.00,1,30,0.39,71%
Lovely HUGE Master Bed + Study,"*** FEATURED AS ONE OF THE TOP 25 BROOKLYN APARTMENTS ON AIRBNB'S ""Best of Brooklyn"" LIST! *** There's a waiting list of friends who want our apartment if we ever move out - but why would we? It's got: • Charm to spare: hardwood floors, vaulted ceilings, original moldings and fireplaces and that greatest Big Apple rarity - SPACE! There's a big living/dining room, bright kitchen, and beautiful bathroom. Plus, one of us a professional performer so there's even a mirrored studio for yoga! (It can also be used to host additional members of your party on a case by case basis - we've got an air mattress.) Every detail in the place has been lovingly considered. It feels open and fresh in the warm months and homey and inviting in the cold ones, providing a tranquil contrast to the lively streets below. This listing is for our big bright bedroom, which is actually two rooms because it has a cozy study/studio attached to it. It's only available when we're out of town. Please note that this is a ",Bedford-Stuyvesant,40.68634,-73.95088,Apartment,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$75.00,$55.00,3,60,0.57,N/A
Bright Modern Charming Housebarge,"Fully insulated and heated for winter! A/C for summer. Unique houseboat with all the ammenities... Wireless internet/TV with large screen TV in bedroom.  Safe environment. There are lots of neighbors and the owner also stays on the dock in another houseboat.  There is one full size bed in main cabin for guests who are comfortable bunking together. The furnishing of the front cabin is setup to suit the average guest mixture. In summer its a family with 2 small children, or, two adults who want more bed space each, or, two couples. To accommodate this mix we furnish with a four seater breakfast nook that folds down to a ""Standard"" width bed plus a round table that has seating for 4. For long staying single guests or a couple who on occasion my have a sleep over guest, we furnish with a small square table and 2 chairs and a futon type bunk (As shown in the photos) This is a great neighborhood to relax in after the hubbub of the city! Its relatively quiet (compared to other neighborhoods) ",Sheepshead Bay,40.58422,-73.94079,House,Entire home/apt,1,1,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""translation missing: en.hosting_amenity_49""}",350,$70.00,$25.00,4,365,1.24,14%
Williamsburg Exposed Brick Loft,"This is a 4th floor, elevator apartment with a warm, cozy feel with Modern and mid-century furniture.   The bedroom area is outfitted with a queen-sized tempur-pedic mattress.  It gets a lot of natural light and view of the river.   The loft also features a newly renovated bathroom and kitchen.   The open kitchen is equipped with an electric kettle, blender, and other appliances and cookware.   You'll also have high-speed Wi-Fi, a 50"" Internet-connected flat-screen TV, which is connected with Apple TV. Lastly, there is a keypad lock on the front door of the apartment for added convenience.  Keys aren't necessary, just use the code that will be given upon your reservation.",Williamsburg,40.71413,-73.96596,Loft,Entire home/apt,1,1,1,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,Other,""Trash can""}",,$195.00,$135.00,5,1125,0.36,21%
Fantastic Lower East Side Studio,"●Great private studio in the heart of the Lower East Side. ●Cable internet with Wi-Fi. ●Large flat-pannel television with streaming Netflix/Hulu/Amazon/HBO/Showtime/Starz. ●Super comfortable Queen Size Bed. ●Compact, but usable kitchen with oven and stove. ●Coffee and tea provided. ●Amazing restaurants, cafes, and bars steps away front the apartment. ●Around the corner from the F, M, J, & Z subway lines.  ●If you're a confident urban traveler, the M-14 & M-15 busses are right there to take you uptown. ●Five minute walk to SoHo, Chinatown, and the East Village. ●Two blocks from the Lower East Side Tenement Museum.  ●Five minute walk to The New Museum ●Five minute walk to The Storefront for Architecture The studio is generous in size by New York standards, and is great for couples or solo travelers. I have a large collection of books - mainly art, design, & architecture - that take over an entire wall in the apartment and give it a great feel. I love my apartment and enjoy renting it to ",Lower East Side,40.71897,-73.98834,Apartment,Entire home/apt,1,0,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace"",""Coffee maker"",Refrigerator,""Dishes and silverware""}",,$125.00,$80.00,4,20,0.32,60%
CBG Helps Haiti Rm #3,"This quiet back guest room has a bath adjoining, and works with the rest of the guest house, e.g. access to large ground floor kitchen, dining and sitting area, back garden with two hammocks et al.  Welcome to CommunityBeGood,www.(URL HIDDEN)    $30 per day we donate to HAITI relief groups;   informal Brooklyn guest house on Park Place  for people wanting travel stays tied into local neighborhood of Park Slope and to have their fees help  support local to global social projects.We offer  free wireless, cable TV in each room; Located 20  minutes from Manhattan by close subway, and steps from  Brooklyn's Fifth Avenue trendy cafes and shops/ BAM Brooklyn Academy of Music; ten minutes from Brooklyn Museum and Botanic Gardens.",Park Slope,40.6796,-73.97745,Bed and breakfast,Private room,2,1,1,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""Children’s books and toys"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$100.00,$10.00,3,365,0.24,86%
BEST DEAL IN CHELSEA 1 bdrm NYC,"Junior 1 bedroom apartment for rent., Close to subway station(URL HIDDEN)trains Walking distance 2 blocks to shopping Meat Packing area -2 blocks from the high line park , Chelsea market -TV, CABLE , WIRELESS INTERNET, NETFLIX (MOVIES)  -BATHTUB,  -QUICK PREP KITCHEN , SILVERWARE, SMALL REFRIGERATOR.   - GAY FRIENDLY  Accommodates 2 people max.",Chelsea,40.74233,-73.99865,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,Essentials,Shampoo,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",Other}",,$199.00,$50.00,5,30,0.33,100%
Cozy two bedroom in L.E.S.,"Fully furnished,2 Bedroom 1 Room with queen size bed 1 room with full size bed , 1 full size air mattresses for extra guests. Coffee table that rises to a dining table to seat 4/5 - Flat Screen TV with cable and wifi  - High ceilings  The apartment is 1st floor walk up.  I will not be present at all when I have guests but will be in the city and reachable, and can be contacted at any time. I will also have a welcome package for each of my guests which has information about everything in the local area, including restaurant suggestions. I really want my guests to have an amazing experience. Charming apartment located in one of the greatest spots in New York - Lower East Side. Near to everything worth tasting, visiting, or buying. Close to most major trains, buses - between Manhattan and Williamsburg Bridges - which makes it a snap to get to the airports. There are tons of world class restaurants and bars. Minutes to Soho, Nolita, Canal street, City hall, Tribeca and the World Trade Cent",Lower East Side,40.71238,-73.98329,Apartment,Entire home/apt,1,2,2,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Garden or backyard""}",,$127.00,$100.00,30,60,2.21,100%
Lovely Apartment,"Travel to an amazing part of Brooklyn- Here you will find the Brooklyn Museum, Prospect Park, the Botanical Gardens and a slew of restaurants that will satisfy any palette. All less than a 5min walk from the apartment.  Subway lines are close by- within a 5 -10 minute walk to the 2, 3, Q, B, A, C.  The apartment is cozy and warm. It is great for couples or families. The unit is equip with Wi-Fi, Cable, TV and a full Kitchen.",Prospect Heights,40.67424,-73.96665,Apartment,Entire home/apt,1,1,0,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you""}",,$150.00,$100.00,5,60,0.23,33%
Artsy Loft-like Harlem Apartment,"The apartment is in a prewar walk-up, built at the turn of the century.  It has all of the hallmarks of that period - fireplaces, high ceilings, beautiful woodwork, and even a dumbwaiter (now converted into a cupboard).  The apartment is fully furnished, with eclectic but primarily modern furniture.  The bedroom has a very comfortable full sized bed - perfect for one or two people.  The eat-in kitchen has exposed brick and two large windows. and opens to the living room.  The kitchen has amenities including a dishwasher, washing machine, large stainless steel refrigerator,  microwave, fully equipped cooking and eating utensils, and hard wood floors made of reclaimed barn wood.  The living room has a fireplace, and is extremely quiet, comfortable, and has great light in the mornings.  I live in the apartment with my 8 year old daughter, who is very friendly and loves having guests!!  Don't worry - the apartment is 70' long and the bedrooms are far apart, so there is plenty of privacy.  ",Harlem,40.80486,-73.95298,Apartment,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Children’s books and toys"",""Hot water"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",1300,$69.00,$0.00,1,365,0.64,80%
